appid,name,positive_ratings,negative_ratings,owners,reviews
55230,Saints Row: The Third,44810,1877,5000000,0.9597960888470024
57300,Amnesia: The Dark Descent,20222,1199,5000000,0.944026889500957
57640,Broken Sword: Director's Cut,1131,108,500000,0.9128329297820823
57690,Tropico 4,8740,827,5000000,0.9135570189192014
57900,Duke Nukem Forever,4433,2243,2000000,0.6640203714799281
62100,Chime,564,39,200000,0.9353233830845771
65790,ARMA: Cold War Assault,3195,942,2000000,0.7722987672226251
65800,Dungeon Defenders,10693,932,2000000,0.9198279569892474
65930,The Bureau: XCOM Declassified,6661,2923,5000000,0.6950125208681135
65980,Sid Meier's Civilization®: Beyond Earth™,9555,8224,2000000,0.5374318015636425
67370,The Darkness II,11992,1234,2000000,0.9066989263571753
70000,Dino D-Day,12222,2367,2000000,0.83775447254781
70300,VVVVVV,6719,268,2000000,0.9616430513811364
70400,Recettear: An Item Shop's Tale,5047,183,500000,0.9650095602294455
71340,Sonic Generations Collection,6921,589,1000000,0.9215712383488682
72850,The Elder Scrolls V: Skyrim,237303,14951,20000000,0.940730374939545
78000,Bejeweled® 3,2670,126,500000,0.9549356223175965
80310,Gemini Rue,1199,128,500000,0.9035418236623964
91600,Sanctum,2552,296,2000000,0.8960674157303371
92800,SpaceChem,3700,324,1000000,0.9194831013916501
94200,Jamestown,1955,103,1000000,0.9499514091350826
94300,The Dream Machine: Chapter 1 & 2,968,85,200000,0.9192782526115859
95400,ibb & obb,3125,211,500000,0.9367505995203836
95700,The Cat and the Coup,823,52,200000,0.9405714285714286
96000,The Tiny Bang Story,3923,567,5000000,0.8737193763919822
96100,Defy Gravity Extended,7553,1224,2000000,0.8605446052181839
97000,Solar 2,1540,158,500000,0.9069493521790342
98300,Toy Soldiers,1032,108,500000,0.9052631578947369
98800,Dungeons of Dredmor,3879,235,1000000,0.9428779776373359
99900,Spiral Knights,15666,3202,5000000,0.8302946788212847
102600,Orcs Must Die!,5371,180,2000000,0.967573410196361
104900,ORION: Prelude,22057,7558,5000000,0.7447914907985818
105450,Age of Empires® III: Complete Collection,13759,1801,5000000,0.884254498714653
105600,Terraria,255600,7797,10000000,0.9703982961081561
107100,Bastion,27887,1098,5000000,0.9621183370708988
107200,Space Pirates and Zombies,2315,202,1000000,0.919745729042511
107310,Cthulhu Saves the World,2868,222,1000000,0.9281553398058252
107410,Arma 3,105034,12524,5000000,0.8934653532724273
107600,Waves,974,60,200000,0.941972920696325
108710,Alan Wake,22962,2163,5000000,0.913910447761194
108800,Crysis 2 - Maximum Edition,6724,1432,5000000,0.8244237371260422
109600,Neverwinter,18517,5297,10000000,0.777567817250357
110800,L.A. Noire,14096,2315,2000000,0.8589360794588995
113020,Monaco: What's Yours Is Mine,7237,749,5000000,0.9062108690207864
113200,The Binding of Isaac,43227,1923,5000000,0.9574086378737542
113400,APB Reloaded,20028,11779,10000000,0.6296727135536203
113420,Fallen Earth Free2Play,3938,3142,5000000,0.5562146892655367
115100,Costume Quest,2635,210,500000,0.9261862917398945
200170,Worms Revolution,3922,686,2000000,0.8511284722222222
200210,Realm of the Mad God,23414,4728,5000000,0.831994883092886
200260,Batman: Arkham City - Game of the Year Edition,25995,1255,5000000,0.9539449541284404
200510,XCOM: Enemy Unknown,36630,2072,5000000,0.9464627151051626
200710,Torchlight II,29539,1757,5000000,0.9438586400817995
200900,Cave Story+,5120,230,1000000,0.9570093457943926
201790,Orcs Must Die! 2,13321,682,5000000,0.9512961508248232
201810,Wolfenstein: The New Order,26727,3011,2000000,0.8987490752572466
202750,Alan Wake's American Nightmare,3598,1468,2000000,0.7102250296091591
202970,Call of Duty®: Black Ops II,25827,4658,5000000,0.8472035427259308
203140,Hitman: Absolution™,23277,2478,5000000,0.9037856726849155
203160,Tomb Raider,93509,4103,10000000,0.9579662336597959
203210,Titan Attacks!,790,79,200000,0.9090909090909091
203290,America's Army: Proving Grounds,6413,1902,5000000,0.7712567648827421
203770,Crusader Kings II,31668,4187,5000000,0.8832240970575931
204030,Fable - The Lost Chapters,4384,364,1000000,0.9233361415332771
204100,Max Payne 3,21581,4374,2000000,0.8314775573107301
204300,Awesomenauts - the 2D moba,20770,3678,5000000,0.8495582460732984
204360,Castle Crashers®,50273,2063,5000000,0.9605816264139407
204530,Infested Planet,1954,127,500000,0.9389716482460355
204880,Sins of a Solar Empire: Rebellion®,8642,712,5000000,0.9238828308744922
205100,Dishonored,41756,1269,5000000,0.9705055200464846
205190,Rocksmith™,869,80,500000,0.9157007376185459
205230,Hell Yeah! Wrath of the Dead Rabbit,2712,434,2000000,0.8620470438652257
205910,Tiny and Big: Grandpa's Leftovers,3483,309,1000000,0.9185126582278481
205950,Jet Set Radio,3398,631,2000000,0.843385455448002
206190,Gunpoint,10384,271,1000000,0.9745659314875645
206210,Gotham City Impostors Free to Play,9269,1773,5000000,0.8394312624524543
206370,Tales From Space: Mutant Blobs Attack,544,57,200000,0.9051580698835274
206420,Saints Row IV,54091,4945,5000000,0.9162375499695101
206440,To the Moon,42115,1423,2000000,0.967315907942487
206500,AirMech Strike,7640,1440,2000000,0.8414096916299559
207080,Indie Game: The Movie,1536,126,500000,0.924187725631769
207140,SpeedRunners,20854,1455,2000000,0.9347796853287911
207170,Legend of Grimrock,4420,268,1000000,0.9428327645051194
207230,ArcheBlade™,5642,2086,5000000,0.730072463768116
207320,Ys: The Oath in Felghana,936,57,200000,0.9425981873111783
207350,Ys Origin,1811,91,500000,0.9521556256572029
207490,Rayman® Origins,1509,114,500000,0.9297597042513863
207690,Botanicula,3524,136,500000,0.9628415300546448
208140,Endless Space® - Collection,5708,1417,2000000,0.8011228070175439
208400,Avernum: Escape From the Pit,658,55,200000,0.9228611500701263
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,8047,978,5000000,0.8916343490304709
208650,Batman™: Arkham Knight,33121,12981,2000000,0.718428701574769
208750,Apotheon,2239,240,500000,0.9031867688584106
209000,Batman™: Arkham Origins,20365,3519,5000000,0.8526628705409479
209080,Guns of Icarus Online,12932,1276,5000000,0.9101914414414415
209160,Call of Duty®: Ghosts,14892,10757,2000000,0.5806074310889313
209370,Analogue: A Hate Story,1881,128,200000,0.9362867098058736
209670,Cortex Command,3119,1454,2000000,0.6820467964137328
209950,Triple Town,559,50,100000,0.9178981937602627
210770,Sanctum 2,11629,1273,5000000,0.9013331266470315
210950,Rune Classic,541,50,200000,0.9153976311336718
211160,Viking: Battle for Asgard,856,1013,2000000,0.4579989299090423
211500,RaceRoom Racing Experience,5204,3571,5000000,0.593048433048433
211600,Thief™ Gold,1649,148,1000000,0.9176405119643851
211740,Thief™ II: The Metal Age,845,51,500000,0.9430803571428571
211820,Starbound,74162,7816,5000000,0.9046573470931225
212070,Star Conflict,8647,2796,5000000,0.755658481167526
212160,Vindictus,3646,1460,2000000,0.7140618879749314
212500,The Lord of the Rings Online™,6860,1644,5000000,0.8066792097836313
212680,FTL: Faster Than Light,42641,1629,5000000,0.963203072057827
212800,Super Crate Box,5951,702,2000000,0.8944836915677138
213670,South Park™: The Stick of Truth™,35896,911,5000000,0.9752492732360692
214420,Gear Up,6383,2225,5000000,0.7415195167286245
214490,Alien: Isolation,24534,1958,2000000,0.9260908953646384
214730,Space Rangers HD: A War Apart,3313,170,200000,0.9511915015790985
214770,Guacamelee! Gold Edition,4881,338,1000000,0.9352366353707606
214950,Total War™: ROME II - Emperor Edition,31864,13423,5000000,0.7036014750369863
215080,WAKFU,4413,1335,2000000,0.7677453027139874
215160,The Book of Unwritten Tales,1386,134,500000,0.9118421052631579
215280,Secret World Legends,4420,2106,2000000,0.6772908366533864
216150,MapleStory,3629,1711,2000000,0.6795880149812734
217200,Worms Armageddon,3517,231,1000000,0.938367129135539
218060,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,2615,221,1000000,0.9220733427362482
218230,PlanetSide 2,35968,7753,10000000,0.8226710276526155
218410,Defender's Quest: Valley of the Forgotten (DX edition),2688,102,500000,0.9634408602150538
218620,PAYDAY 2,308657,56523,20000000,0.8452187962100882
218680,Scribblenauts Unlimited,6661,588,2000000,0.9188853634984135
219150,Hotline Miami,45809,1211,5000000,0.9742450021267546
219190,Ultratron,545,60,100000,0.9008264462809917
219640,Chivalry: Medieval Warfare,51499,10939,10000000,0.8248022037861559
219890,Antichamber,12232,612,2000000,0.9523512924322641
219910,Edna & Harvey: Harvey's New Eyes,1674,162,500000,0.9117647058823529
219990,Grim Dawn,26805,2605,2000000,0.9114246854811289
220200,Kerbal Space Program,49328,5168,5000000,0.9051673517322373
220240,Far Cry 3,46331,5622,5000000,0.8917868073066041
220260,Farming Simulator 2013 Titanium Edition,3962,381,1000000,0.9122726226110983
220440,DmC: Devil May Cry,14820,956,2000000,0.9394016227180527
220700,RPG Maker VX Ace,3372,210,1000000,0.9413735343383585
220740,Chaos on Deponia,1433,121,500000,0.9221364221364221
220780,Thomas Was Alone,7456,438,1000000,0.9445148213833291
221040,Resident Evil 6 / Biohazard 6,14643,3904,2000000,0.7895077371003397
221100,DayZ,118435,77169,5000000,0.6054835279442138
221260,Little Inferno,6403,459,1000000,0.9331098805013116
221380,Age of Empires II HD,54090,3178,10000000,0.9445065306977719
221640,Super Hexagon,19797,616,2000000,0.9698231519129966
221680,Rocksmith® 2014 Edition - Remastered,8228,789,1000000,0.9124986137296218
221910,The Stanley Parable,31538,2846,5000000,0.9172289436947417
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,903,78,200000,0.9204892966360856
222880,Insurgency,92355,9570,5000000,0.9061074319352465
223470,POSTAL 2,36263,1872,2000000,0.9509112363970106
223710,Cry of Fear,20990,3497,5000000,0.8571895291379099
223750,DCS World Steam Edition,5083,1534,5000000,0.768172888015717
224260,No More Room in Hell,48190,5747,10000000,0.8934497654671191
224460,Contrast,4028,415,500000,0.9065946432590591
224480,Octodad: Dadliest Catch,6742,536,1000000,0.9263533937895027
224600,Defiance,9150,2808,5000000,0.7651781234320121
224760,FEZ,10641,928,2000000,0.9197856340219552
224820,Super House of Dead Ninjas,1306,56,200000,0.9588839941262849
225080,Brothers - A Tale of Two Sons,31689,1708,2000000,0.948857681827709
225160,Shadow Warrior Classic Redux,1789,151,500000,0.9221649484536083
225260,Brutal Legend,12816,905,5000000,0.9340427082574156
225540,Just Cause™ 3,37747,14024,5000000,0.7291147553649727
225840,Sven Co-op,12211,1173,5000000,0.9123580394500896
226620,Desktop Dungeons,1056,104,200000,0.9103448275862069
227000,Primordia,1863,49,200000,0.9743723849372385
227080,Papo & Yo,2405,160,500000,0.9376218323586745
227300,Euro Truck Simulator 2,176769,5825,10000000,0.9680986231749127
227940,Heroes & Generals,65856,34416,20000000,0.6567735758736237
228360,Full Throttle Remastered,1162,91,200000,0.9273743016759777
230270,N++ (NPLUSPLUS),1600,83,200000,0.9506833036244801
230290,Universe Sandbox ²,5918,377,500000,0.9401111993645751
230410,Warframe,226541,20268,50000000,0.9178798179969125
230820,The Night of the Rabbit,1700,179,500000,0.9047365620010644
231160,The Swapper,5699,242,1000000,0.9592661168153509
231430,Company of Heroes 2,32548,12038,5000000,0.7300049342843045
232010,Euro Truck Simulator,3772,973,2000000,0.7949420442571128
232050,Eador. Masters of the Broken World,1365,679,2000000,0.6678082191780822
232090,Killing Floor 2,60917,8354,5000000,0.8794011924181837
233130,Shadow Warrior,18716,1426,5000000,0.9292026611061464
233150,LUFTRAUSERS,3180,302,500000,0.913268236645606
233270,Far Cry 3 - Blood Dragon,9282,1257,2000000,0.8807287218901224
233450,Prison Architect,31687,2286,5000000,0.9327112707149795
233610,Distance,3989,279,200000,0.9346298031865042
233720,Surgeon Simulator,11387,2462,2000000,0.8222254314390931
233980,UnEpic,5899,449,500000,0.9292690611216131
234140,Mad Max,36222,3811,5000000,0.9048035370819074
234270,Ken Follett's The Pillars of the Earth,1320,99,100000,0.9302325581395349
234630,Project CARS,8618,2720,2000000,0.7600987828541189
234650,Shadowrun Returns,8676,1132,2000000,0.884584013050571
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,8209,882,1000000,0.9029809701902981
235320,Original War,923,66,200000,0.9332659251769464
235460,METAL GEAR RISING: REVENGEANCE,13722,1157,1000000,0.9222393978089926
235540,Warhammer: End Times - Vermintide,13905,3560,2000000,0.7961637560835958
236090,Dust: An Elysian Tail,15064,625,2000000,0.960163171648926
236110,Dungeon Defenders II,10766,3802,5000000,0.7390170236133993
